sample_number,date_time,temperature_water,sub_pressure,level_m
399,1/16/2018 16:30,14.23,164.07,2.187414054
400,1/16/2018 16:45,14.23,164.17,2.188747274
401,1/16/2018 17:00,14.23,164.31,2.190613782
402,1/16/2018 17:15,14.421,164.13,2.188213986
403,1/16/2018 17:30,14.325,164.4,2.19181368
404,1/16/2018 17:45,14.23,164.38,2.191547036
405,1/16/2018 18:00,14.134,164.32,2.190747104
406,1/16/2018 18:15,14.134,164.25,2.18981385
407,1/16/2018 18:30,14.134,164.28,2.190213816
408,1/16/2018 18:45,14.23,164.5,2.1931469
409,1/16/2018 19:00,14.23,164.51,2.193280222
410,1/16/2018 19:15,14.325,164.47,2.192746934
411,1/16/2018 19:30,14.325,164.47,2.192746934
412,1/16/2018 19:45,14.325,164.41,2.191947002
413,1/16/2018 20:00,14.325,164.45,2.19248029
414,1/16/2018 20:15,14.325,164.52,2.193413544
415,1/16/2018 20:30,14.325,164.52,2.193413544
416,1/16/2018 20:45,14.23,164.59,2.194346798
417,1/16/2018 21:00,14.23,164.53,2.193546866
418,1/16/2018 21:15,14.23,164.6,2.19448012
419,1/16/2018 21:30,14.23,164.59,2.194346798
420,1/16/2018 21:45,14.23,164.53,2.193546866
421,1/16/2018 22:00,14.23,164.36,2.191280392
422,1/16/2018 22:15,14.23,164.46,2.192613612
423,1/16/2018 22:30,14.23,164.52,2.193413544
424,1/16/2018 22:45,14.325,164.58,2.194213476
425,1/16/2018 23:00,14.325,164.52,2.193413544
426,1/16/2018 23:15,14.325,164.57,2.194080154
427,1/16/2018 23:30,14.325,164.5,2.1931469
428,1/16/2018 23:45,14.325,164.44,2.192346968
429,1/17/2018 0:00,14.23,164.51,2.193280222
430,1/17/2018 0:15,14.23,164.7,2.19581334
431,1/17/2018 0:30,14.325,164.68,2.195546696
432,1/17/2018 0:45,14.325,164.62,2.194746764
433,1/17/2018 1:00,14.23,164.64,2.195013408
434,1/17/2018 1:15,14.23,164.59,2.194346798
435,1/17/2018 1:30,14.23,164.51,2.193280222
436,1/17/2018 1:45,14.23,164.57,2.194080154
437,1/17/2018 2:00,14.23,164.57,2.194080154
438,1/17/2018 2:15,14.23,164.57,2.194080154
439,1/17/2018 2:30,14.325,164.68,2.195546696
440,1/17/2018 2:45,14.325,164.56,2.193946832
441,1/17/2018 3:00,14.325,164.73,2.196213306
442,1/17/2018 3:15,14.325,164.61,2.194613442
443,1/17/2018 3:30,14.23,164.75,2.19647995
444,1/17/2018 3:45,14.23,164.75,2.19647995
445,1/17/2018 4:00,14.23,164.63,2.194880086
446,1/17/2018 4:15,14.325,164.6,2.19448012
447,1/17/2018 4:30,14.325,164.6,2.19448012
448,1/17/2018 4:45,14.325,164.48,2.192880256
449,1/17/2018 5:00,14.325,164.79,2.197013238
450,1/17/2018 5:15,14.23,164.63,2.194880086
451,1/17/2018 5:30,14.325,164.63,2.194880086
452,1/17/2018 5:45,14.325,164.69,2.195680018
453,1/17/2018 6:00,14.325,164.65,2.19514673
454,1/17/2018 6:15,14.325,164.77,2.196746594
455,1/17/2018 6:30,14.325,164.72,2.196079984
456,1/17/2018 6:45,14.325,164.84,2.197679848
457,1/17/2018 7:00,14.325,164.66,2.195280052
458,1/17/2018 7:15,14.325,164.84,2.197679848
459,1/17/2018 7:30,14.325,164.84,2.197679848
460,1/17/2018 7:45,14.325,164.9,2.19847978
461,1/17/2018 8:00,14.325,164.78,2.196879916
462,1/17/2018 8:15,14.325,164.78,2.196879916
463,1/17/2018 8:30,14.325,164.85,2.19781317
464,1/17/2018 8:45,14.325,165.03,2.200212966
465,1/17/2018 9:00,14.325,164.68,2.195546696
466,1/17/2018 9:15,14.23,164.92,2.198746424
467,1/17/2018 9:30,14.23,164.71,2.195946662
468,1/17/2018 9:45,14.23,164.87,2.198079814
469,1/17/2018 10:00,14.325,164.96,2.199279712
470,1/17/2018 10:15,14.325,164.97,2.199413034
471,1/17/2018 10:30,14.325,164.92,2.198746424
472,1/17/2018 10:45,14.23,164.79,2.197013238
473,1/17/2018 11:00,14.23,164.68,2.195546696
474,1/17/2018 11:15,14.23,164.86,2.197946492
475,1/17/2018 11:30,14.325,164.93,2.198879746
476,1/17/2018 11:45,14.325,164.87,2.198079814
477,1/17/2018 12:00,14.325,164.78,2.196879916
478,1/17/2018 12:15,14.325,164.86,2.197946492
479,1/17/2018 12:30,14.325,164.84,2.197679848
480,1/17/2018 12:45,14.325,164.88,2.198213136
481,1/17/2018 13:00,14.325,164.79,2.197013238
482,1/17/2018 13:15,14.325,164.72,2.196079984
483,1/17/2018 13:30,14.325,164.6,2.19448012
484,1/17/2018 13:45,14.325,164.63,2.194880086
485,1/17/2018 14:00,14.325,164.72,2.196079984
486,1/17/2018 14:15,14.325,164.51,2.193280222
487,1/17/2018 14:30,14.325,164.6,2.19448012
488,1/17/2018 14:45,14.421,164.67,2.195413374
489,1/17/2018 15:00,14.325,164.71,2.195946662
490,1/17/2018 15:15,14.23,164.89,2.198346458
491,1/17/2018 15:30,14.23,164.86,2.197946492
492,1/17/2018 15:45,14.23,164.54,2.193680188
493,1/17/2018 16:00,14.325,164.69,2.195680018
494,1/17/2018 16:15,14.325,164.53,2.193546866
495,1/17/2018 16:30,14.325,164.67,2.195413374
496,1/17/2018 16:45,14.325,164.53,2.193546866
497,1/17/2018 17:00,14.325,164.63,2.194880086
498,1/17/2018 17:15,14.325,164.81,2.197279882
499,1/17/2018 17:30,14.325,164.94,2.199013068
500,1/17/2018 17:45,14.325,164.99,2.199679678
501,1/17/2018 18:00,14.325,164.84,2.197679848
502,1/17/2018 18:15,14.325,164.89,2.198346458
503,1/17/2018 18:30,14.23,164.94,2.199013068
504,1/17/2018 18:45,14.23,165.09,2.201012898
505,1/17/2018 19:00,14.325,165,2.199813
506,1/17/2018 19:15,14.325,165.11,2.201279542
507,1/17/2018 19:30,14.325,164.98,2.199546356
508,1/17/2018 19:45,14.421,165.2,2.20247944
509,1/17/2018 20:00,14.421,165.01,2.199946322
510,1/17/2018 20:15,14.421,165.06,2.200612932
511,1/17/2018 20:30,14.421,165.05,2.20047961
512,1/17/2018 20:45,14.325,165.14,2.201679508
513,1/17/2018 21:00,14.325,165.07,2.200746254
514,1/17/2018 21:15,14.325,165.13,2.201546186
515,1/17/2018 21:30,14.325,165.06,2.200612932
516,1/17/2018 21:45,14.325,165.12,2.201412864
517,1/17/2018 22:00,14.325,165.12,2.201412864
